"Cardroom","Username","Nickname","Country","Signup date + time","Frozen","Signup IP","Signup serial","Date first rake/fee","Player Code","Lifetime Rake","Lifetime Fee"
"atlanticcity.pe","2.554319","ElGato7w7","Peru","2026-03-17 22:27:04","Not frozen","190.233.83.82","38cbda545ba9fbfd7b668b5821d53bd2",NULL,"39743988",NULL,NULL
"sportiumbet.mx","BRANDONGAEL166","BRANDONGAEL166","Mexico","2026-03-17 22:53:00","Not frozen",NULL,NULL,NULL,"39744145",NULL,NULL
"betsson.com","1331751249","Focusedworld82","Chile","2026-03-17 18:14:40","Not frozen",NULL,NULL,NULL,"39742708",NULL,NULL
"bet365poker.pe","GHTWKDL2AIC5MP","setorange872","Peru","2026-03-17 17:38:33","Not frozen","38.172.128.43","cbd1de0e36b2a9e0692195bfd01bdad5","2026-03-17 00:00:00","39742531","3.733206","0"
"netbetro","NETBAB0C56D13E77","NETBAB0C56D13E77","Romania","2026-03-17 20:47:50","Not frozen",NULL,NULL,NULL,"39743455",NULL,NULL
"betfairpoker","116327871","dragonfast543","United Kingdom","2026-03-18 01:15:46","Not frozen","51.198.149.181","123729352d7aadd22dc73efb5147f763",NULL,"39744796",NULL,NULL
"netbetro","NETB2F72895D8BE8","NETB2F72895D8BE8","Romania","2026-03-18 03:36:20","Not frozen",NULL,NULL,NULL,"39745314",NULL,NULL
"bet365poker","MBALTMED","itachiuchija","Costa Rica","2026-03-17 13:16:57","Not frozen","190.113.115.187","d3f05e6dbafc5a9e7e4df282b0a374da",NULL,"39741456","0","0"
"svenskaspel","110669093","mousemighty525","Sweden","2026-03-17 19:25:13","Not frozen","78.68.246.75","CDB70F3C-27E8-4239-A4CB-2B6E43A9FFF1","2026-03-17 00:00:00","39743085","0.08249504965587126","0.07000000059977161"
"coolbet.ee","G1wWheOL","Fearlesszone53","Estonia","2026-03-17 19:03:01","Not frozen","82.131.112.245","2ce2fb50a7560e3430be1fd5a21e46a5",NULL,"39742959",NULL,NULL
"sportiumbet.mx","Boque291220","Boque291220","Mexico","2026-03-17 20:15:30","Not frozen",NULL,NULL,NULL,"39743316",NULL,NULL
"skypoker.com","503092180","503092180","United Kingdom","2026-03-17 11:57:37","Not frozen","86.187.162.163","0BDF5899-ECE9-4921-9904-8CFCFC3AD0DF",NULL,"39741236",NULL,NULL
"skypoker.com","512040436","scott221","United Kingdom","2026-03-17 23:27:07","Not frozen","95.214.185.108","5f7e38bd3a4587d84389a124638b00d6","2026-03-17 00:00:00","39744327","0.7479997047228468","0"
"sportiumbet.mx","Edit33@","Edit332","Mexico","2026-03-17 18:12:30","Not frozen",NULL,NULL,NULL,"39742694",NULL,NULL
"bet365poker","4939710703AB408E80B0D865115518FF","jokergrey6167","United Kingdom","2026-03-17 15:35:03","Not frozen","82.8.240.17","0e5343b2acab2b030875b72a5497f3d0",NULL,"39742006",NULL,NULL
"sportiumbet.mx","Eltaqkero1","Eltaqkero1","Mexico","2026-03-17 10:47:20","Not frozen",NULL,NULL,NULL,"39741019",NULL,NULL
"atlanticcity.pe","2.554353","Mythos24","Peru","2026-03-18 00:08:42","Not frozen","132.184.55.153","f897605203cb5f777a87817598088b6d",NULL,"39744527",NULL,NULL
"netbetuk","NETB842FACA8D0F6","NETB842FACA8D0F6","United Kingdom","2026-03-17 13:05:20","Not frozen",NULL,NULL,NULL,"39741413",NULL,NULL
"netbetro","NETB6897BBD259FB","NETB6897BBD259FB","Romania","2026-03-17 17:47:10","Not frozen",NULL,NULL,NULL,"39742575",NULL,NULL
"betsson.com","1802501313","dukecharm36","Chile","2026-03-17 18:01:40","Not frozen",NULL,NULL,NULL,"39742637",NULL,NULL
"bet365poker.dk","IDUNNEDDA03","cardgutsy8131","Denmark","2026-03-17 17:56:19","Not frozen","87.49.42.188","686994639a1fac1624eae07f8b0e7f49",NULL,"39742615",NULL,NULL
"poker770mt","NETB5ACB7596A20A","NETB5ACB7596A20A","Ireland","2026-03-17 20:42:00","Not frozen",NULL,NULL,NULL,"39743428",NULL,NULL
"atlanticcity.pe","2.515231","2515231","Peru","2026-03-17 13:13:36","Not frozen","132.184.161.197","5509909ba7aad8e1205d0b05bdaa5704",NULL,"39741447",NULL,NULL
"sportiumbet.mx","Bellakito16","Bellakito16","Mexico","2026-03-18 01:26:00","Not frozen",NULL,NULL,NULL,"39744826",NULL,NULL
"sportiumbet.mx","Oralia04","Oralia04","Mexico","2026-03-17 18:24:10","Not frozen",NULL,NULL,NULL,"39742755",NULL,NULL
"netbetuk","NETB088D0D0ED20E","NETB088D0D0ED20E","United Kingdom","2026-03-17 16:07:40","Not frozen",NULL,NULL,NULL,"39742129",NULL,NULL
"netbetgr","NETBF3D82B54DB49","NETBF3D82B54DB49","Greece","2026-03-17 11:14:40","Not frozen",NULL,NULL,NULL,"39741103",NULL,NULL
"netbetro","NETB318BB9A9D22F","NETB318BB9A9D22F","Romania","2026-03-17 21:54:50","Not frozen",NULL,NULL,NULL,"39743796",NULL,NULL
"betfredew5","PF14615996","paddyceltic67","United Kingdom","2026-03-17 14:48:11","Not frozen","82.45.201.38","c61687ca247c8a11984bcb6cbc50b32b",NULL,"39741831","0","0"
"sportiumbet.mx","Gemashanyl123","Gemashanyl123","Mexico","2026-03-17 21:58:50","Not frozen",NULL,NULL,NULL,"39743816",NULL,NULL
"betsson.pe","1665195926","stakerblue983","Peru","2026-03-18 00:12:16","Not frozen","38.255.105.1","e5b755b6b2ef26ebc754c7a0c72ce167",NULL,"39744538",NULL,NULL
"sportiumbet.mx","patoi14","patoi14","Mexico","2026-03-17 14:40:00","Not frozen",NULL,NULL,NULL,"39741796",NULL,NULL
"sportiumbet.mx","JuanM03091977","JuanM03091977","Mexico","2026-03-18 04:05:50","Not frozen",NULL,NULL,NULL,"39745421",NULL,NULL
"netbetro","NETB0E01740695FC","NETB0E01740695FC","Romania","2026-03-17 19:27:40","Not frozen",NULL,NULL,NULL,"39743102",NULL,NULL
"sportiumbet.mx","Alext98","Alext981","Mexico","2026-03-17 19:32:50","Not frozen",NULL,NULL,NULL,"39743137",NULL,NULL
"netbetro","NETBE9256C0759FA","NETBE9256C0759FA","Romania","2026-03-17 19:29:20","Not frozen",NULL,NULL,NULL,"39743115",NULL,NULL
"teammexico.mx","1418998","1418998","Mexico","2026-03-17 10:29:47","Not frozen","187.193.117.16","22347bb25a5a7aa4aeb860d5d0c30cdf",NULL,"39740958","0","0"
"poker770mt","NETB186D1697ADCC","NETB186D1697ADCC","Bangladesh","2026-03-17 23:03:30","Not frozen",NULL,NULL,NULL,"39744203",NULL,NULL
"grosvenor.poker","11681430","kinggiant25","United Kingdom","2026-03-17 21:44:48","Not frozen","109.147.58.78","7c0073b412464519781a7d0a355c739e",NULL,"39743735",NULL,NULL
"svenskaspel","113971062","ninjamature342","Sweden","2026-03-17 22:48:09","Not frozen","194.5.155.230","7465acaeeb10a6273fc04821d0d34a4c",NULL,"39744115",NULL,NULL
"sportiumbet.mx","Miguehueramo888","Miguehueramo888","Mexico","2026-03-18 02:10:10","Not frozen",NULL,NULL,NULL,"39745001",NULL,NULL
"netbetro","NETBAF0E7A789926","NETBAF0E7A789926","Romania","2026-03-17 18:38:00","Not frozen",NULL,NULL,NULL,"39742836",NULL,NULL
"bet365poker","ANTONYYOUNG57","baronzenith543","United Kingdom","2026-03-17 22:09:37","Not frozen","86.185.205.228","cd821e0f9d72354ddc056ae5532cd4a2",NULL,"39743880",NULL,NULL
"betfredew5","PF9307613","1984ajf","United Kingdom","2026-03-18 00:07:31","Not frozen","86.26.155.197","59d6e6010590c6696d8bc77ef74facc9","2026-03-18 00:00:00","39744520","0","1.7499999992932536"
"whpoker","Herby9292","Herby9292","United Kingdom","2026-03-18 00:43:28","Not frozen","95.131.184.34","659426b22dcb8fd03da86842e3589776","2026-03-18 00:00:00","39744672","1.4639789999999997","0"
"netbetgr","NETB08616849F041","NETB08616849F041","Greece","2026-03-17 14:32:10","Not frozen",NULL,NULL,NULL,"39741763",NULL,NULL
"coolbet","8vIYjMHI","Strongfalse929","Chile","2026-03-17 11:49:42","Not frozen","186.174.70.123","65fb7f79bc4fb349f1e87c6a280a539b",NULL,"39741223",NULL,NULL
"paddypowerpoker.com","300165042","saturnfirst677","United Kingdom","2026-03-17 21:28:25","Not frozen","31.94.74.254","673facce77cd024597d2930d9dcfb979",NULL,"39743646",NULL,NULL
"skypoker.com","502962933","502962933","United Kingdom","2026-03-17 12:40:23","Not frozen","78.147.150.32","51e849932f6029a6c403a2a118cdb472",NULL,"39741349",NULL,NULL
"netbetro","NETB4975FF302C7B","NETB4975FF302C7B","Romania","2026-03-18 00:56:30","Not frozen",NULL,NULL,NULL,"39744727",NULL,NULL
"sportiumbet.mx","Olguita23","Olguita23","Mexico","2026-03-17 19:21:40","Not frozen",NULL,NULL,NULL,"39743062",NULL,NULL
"netbetgr","NETBC99AC56E8D50","Trelik13AA","Greece","2026-03-17 11:30:00","Not frozen","94.65.88.47","8a49ddda051d81c88a2ffc37ca7a565d","2026-03-17 00:00:00","39741154","2.49516","0"
"sportiumbet.mx","Chatanacha19","Chatanacha19","Mexico","2026-03-17 16:31:30","Not frozen",NULL,NULL,NULL,"39742234",NULL,NULL
"betfredew5","PF14609446","gggvg","United Kingdom","2026-03-17 22:14:48","Not frozen","80.2.222.44","959d2b27115c8cb6bd92aff2fcef61b6",NULL,"39743916",NULL,NULL
"sportiumbet.mx","Makooo1","Makooo1","Mexico","2026-03-18 01:08:34","Not frozen",NULL,NULL,NULL,"39744759",NULL,NULL
"betfredew5","PF9188775","nababah","United Kingdom","2026-03-17 22:45:55","Not frozen","154.47.7.176","19f4e4aaedb351d1aa8b094c05aec774",NULL,"39744106",NULL,NULL
"bet365poker","JUSTINMC365","cloudwonder828","United Kingdom","2026-03-17 18:46:27","Not frozen","82.132.236.77","6114a6c8d274370db0e8154a94de4e17",NULL,"39742879",NULL,NULL
"bet365poker","SOFIAFRANCOLAM","beemighty3474","Guatemala","2026-03-17 18:54:07","Not frozen","190.56.173.126","a308c2c34af02539943deab6d618248a",NULL,"39742916",NULL,NULL
"sportiumbet.mx","AreliV17","AreliV17","Mexico","2026-03-18 01:26:00","Not frozen",NULL,NULL,NULL,"39744825",NULL,NULL
"sportiumbet.mx","Hecwin7","Hecwin7","Mexico","2026-03-17 14:07:00","Not frozen",NULL,NULL,NULL,"39741650",NULL,NULL
"netbetro","NETBFA3D577F3C6E","NETBFA3D577F3C6E","Romania","2026-03-17 13:45:00","Not frozen",NULL,NULL,NULL,"39741557",NULL,NULL
"inbet.bg","1483493419207628884","1483493419207628","Bulgaria","2026-03-17 16:18:14","Not frozen","95.42.68.246","d415c3330b102a807f080b81b8120e1c",NULL,"39742174",NULL,NULL
"sportiumbet.mx","Angye1212","Angye1212","Mexico","2026-03-17 19:26:20","Not frozen",NULL,NULL,NULL,"39743092",NULL,NULL
"paf.se","10137287","whalecoin212","Sweden","2026-03-17 19:43:55","Not frozen","95.203.36.123","D5FB76EB-61C1-41E7-BB97-A76089F2B1AE","2026-03-17 00:00:00","39743189","11.59607","0"
"bet365poker","DURNSIE101","streeticy5312","United Kingdom","2026-03-17 17:57:04","Not frozen","109.146.246.140","30f31ce77fe02347b76b40c0d9272467","2026-03-17 00:00:00","39742621","0.729832","0"
"netbetuk","NETB7819740718E6","NETB7819740718E6","United Kingdom","2026-03-17 23:08:00","Not frozen",NULL,NULL,NULL,"39744228",NULL,NULL
"netbetuk","NETB6EB25003E3F5","NETB6EB25003E3F5","United Kingdom","2026-03-17 23:04:50","Not frozen",NULL,NULL,NULL,"39744212",NULL,NULL
"betfredew5","PF14745781","keely","United Kingdom","2026-03-17 22:19:40","Not frozen","81.98.97.76","7a5a44ad55092bf7d8bfc0d7f10d4d85",NULL,"39743941",NULL,NULL
"sportiumbet.mx","Soylaverga96","Soylaverga96","Mexico","2026-03-17 13:51:10","Not frozen",NULL,NULL,NULL,"39741571",NULL,NULL
"atlanticcity.pe","1.507610","1507610","Peru","2026-03-17 23:46:11","Not frozen","132.157.130.185","63b5ac16c6dc7457f76e6abc7c106ad0",NULL,"39744415",NULL,NULL
"netbetro","NETB6FA4B048CA6F","NETB6FA4B048CA6F","Romania","2026-03-17 16:48:20","Not frozen",NULL,NULL,NULL,"39742306",NULL,NULL
"sportiumbet.mx","javier2512@","javier2512","Mexico","2026-03-18 02:43:30","Not frozen",NULL,NULL,NULL,"39745126",NULL,NULL
"sportiumbet.mx","Cesarsoccer29","Cesarsoccer29","Mexico","2026-03-17 16:33:30","Not frozen",NULL,NULL,NULL,"39742247",NULL,NULL
"poker770mt","NETBE21E71B879B9","NETBE21E71B879B9","Slovenia","2026-03-17 15:21:30","Not frozen",NULL,NULL,NULL,"39741961",NULL,NULL
"bet365poker","TONI2923","aceember15","Finland","2026-03-17 19:13:49","Not frozen","37.33.136.150","c705cf36a614adf786f1182af792b488","2026-03-17 00:00:00","39743016","51.821102","0"
"codere.mx","Betosim82","kingsober463","Mexico","2026-03-17 16:11:08","Not frozen","201.162.232.165","11e248c218","2026-03-17 00:00:00","39742142","0.00546199999999999","0"
"efortuna","andrabira","andrabira","Romania","2026-03-17 14:02:53","Not frozen","5.14.199.67","2d534bd4-4186-49da-b0f8-ea8aa3edfb0f","2026-03-17 00:00:00","39741625","0","0.02000000006385019"
"sportiumbet.mx","Ismael0109755","Ismael0109755","Mexico","2026-03-18 03:32:30","Not frozen",NULL,NULL,NULL,"39745299",NULL,NULL
"paddypowerpoker.com","47257613","Meticulousfire9","Ireland","2026-03-17 16:25:03","Not frozen","78.16.165.35","aivirk17204","2026-03-17 00:00:00","39742214","0","6.703309788106253"
"betfredew5","PF12957118","OGzlokk","United Kingdom","2026-03-18 01:10:07","Not frozen","109.147.124.142","e97dc6235371dfa04f778130f17dc34c","2026-03-18 00:00:00","39744779","0","0.3799999998465351"
"paddypowerpoker.com","305541199","eaglerapid915","United Kingdom","2026-03-17 22:27:35","Not frozen","90.200.63.166","8c2b189773b8aba66b5b4c2428908681",NULL,"39743993",NULL,NULL
"sportiumbet.mx","JOSE99910","JOSE99910","Mexico","2026-03-17 23:37:00","Not frozen",NULL,NULL,NULL,"39744369",NULL,NULL
"netbetro","NETB745D0D59F740","NETB745D0D59F740","Romania","2026-03-17 11:06:10","Not frozen",NULL,NULL,NULL,"39741075",NULL,NULL
"bet365poker.gr","GEORGIAKOPANA","cloudstar99","Greece","2026-03-17 21:36:51","Not frozen","109.178.174.216","d312e6655614417dda579372aaba3d5c",NULL,"39743695",NULL,NULL
"sportiumbet.mx","monkys01","monkys01","Mexico","2026-03-17 21:20:40","Not frozen",NULL,NULL,NULL,"39743611",NULL,NULL
"netbetro","NETBF0E685B773B9","NETBF0E685B773B9","Romania","2026-03-17 15:26:20","Not frozen",NULL,NULL,NULL,"39741977",NULL,NULL
"teammexico.mx","1421161","chapizza","Mexico","2026-03-18 00:39:47","Not frozen","177.245.110.11","576d7c0964f5835cafe5b80449a6e245","2026-03-18 00:00:00","39744659","0","0.24000001853568595"
"netbetuk","NETB9C6EFFFB01ED","NETB9C6EFFFB01ED","United Kingdom","2026-03-18 00:01:50","Not frozen",NULL,NULL,NULL,"39744489",NULL,NULL
"sportiumbet.mx","Jhony356","Jhony356","Mexico","2026-03-18 01:25:40","Not frozen","45.180.10.95","81c304240e935065acee941122f327de",NULL,"39744822",NULL,NULL
"swisscasino.ch","Bryanali22","liontower961","Switzerland","2026-03-17 20:42:17","Not frozen","213.55.221.41","963F9F66-8842-4D6C-B68E-D7E5BBBC72D6",NULL,"39743431",NULL,NULL
"bet365poker","FBOGDANNN","duckready14","United Kingdom","2026-03-17 21:47:35","Not frozen","130.88.226.0","e2fea2e299558244847453af064d63c4","2026-03-17 00:00:00","39743753","0.039131","0"
"sportiumbet.mx","497253_Cr","497253Cr","Mexico","2026-03-18 04:05:10","Not frozen",NULL,NULL,NULL,"39745417",NULL,NULL
"skypoker.com","512726371","jasla","United Kingdom","2026-03-17 21:49:33","Not frozen","162.120.214.98","d1333a8764a20e5911b70437ead84ce0",NULL,"39743771",NULL,NULL
"teammexico.mx","1420861","michy99","Mexico","2026-03-17 22:52:39","Not frozen","38.224.97.71","27360a73c16f5d5dc35461a1b27fbabf",NULL,"39744143",NULL,NULL
"bifortuna.cz","gavgav","gavgav4","Czech Republic","2026-03-17 21:32:18","Not frozen","78.80.112.122","8ea52ba7-9e21-4602-8b71-9a616331b942","2026-03-18 00:00:00","39743667","2.961291061949311","1.8000001855266812"
"poker770mt","NETB366AB0E7A1B1","NETB366AB0E7A1B1","Ireland","2026-03-17 21:10:40","Not frozen",NULL,NULL,NULL,"39743566",NULL,NULL
"paddypowerpoker.com","306502587","wallscary164","United Kingdom","2026-03-17 17:55:22","Not frozen","31.118.238.222","3c31fe5ded738a1ec992e8d32a3367c1",NULL,"39742609",NULL,NULL
"betsson.com","1883275944","machinebloom74","Chile","2026-03-17 15:38:20","Not frozen",NULL,NULL,NULL,"39742022",NULL,NULL
"sportiumbet.mx","Zuly5@","Zuly5","Mexico","2026-03-17 21:33:40","Not frozen",NULL,NULL,NULL,"39743680",NULL,NULL
"sportiumbet.mx","Jaci38","Jaci38","Mexico","2026-03-17 16:28:40","Not frozen",NULL,NULL,NULL,"39742220",NULL,NULL
"bet365poker","A70F3EA860A3400F976DA33909B1C6A9","Strongmind44","Ireland","2026-03-17 14:36:06","Not frozen","84.203.151.122","67dc3367d5465b70b045f9a0e0d6252c",NULL,"39741779",NULL,NULL
"bet365poker","LIAMFINNIGAN71","sheriffleaf956","United Kingdom","2026-03-17 15:45:06","Not frozen","31.52.175.241","931428e9d24ca3f282ebcaa343bd1ae2",NULL,"39742048",NULL,NULL
"poker770mt","NETB40A0CFE84C10","NETB40A0CFE84C10","Bangladesh","2026-03-17 10:17:30","Not frozen",NULL,NULL,NULL,"39740926",NULL,NULL
"poker770mt","NETB95A47F20B64A","NETB95A47F20B64A","Ireland","2026-03-18 03:17:10","Not frozen",NULL,NULL,NULL,"39745240",NULL,NULL
"paddypowerpoker.com","47425007","Cyclone717","United Kingdom","2026-03-17 11:23:05","Not frozen","82.32.116.55","2d233152f387f3abb6d1a3599f1d3ac0",NULL,"39741138",NULL,NULL
"svenskaspel","114754903","dicedropped415","Sweden","2026-03-18 02:34:54","Not frozen","83.187.166.239","248bc5e1b110353afe8beb2dfa0427a8","2026-03-18 00:00:00","39745098","0.02388199999999999","0"
"netbetuk","NETB14CE5BD036DC","NETB14CE5BD036DC","United Kingdom","2026-03-17 13:37:00","Not frozen",NULL,NULL,NULL,"39741533",NULL,NULL
"netbetro","NETB3945B273ABE8","NETB3945B273ABE8","Romania","2026-03-17 16:55:40","Not frozen",NULL,NULL,NULL,"39742346",NULL,NULL
"sportiumbet.mx","eliut30","eliut30","Mexico","2026-03-17 22:51:10","Not frozen",NULL,NULL,NULL,"39744135",NULL,NULL
"netbetuk","NETB5535F5EE0DB3","NETB5535F5EE0DB3","United Kingdom","2026-03-18 02:42:50","Not frozen",NULL,NULL,NULL,"39745123",NULL,NULL
"sportiumbet.mx","r0cko0","r0cko0","Mexico","2026-03-17 11:20:20","Not frozen",NULL,NULL,NULL,"39741129",NULL,NULL
"netbetro","NETBBE38B2715BFA","NETBBE38B2715BFA","Romania","2026-03-17 12:31:40","Not frozen",NULL,NULL,NULL,"39741322",NULL,NULL
"coolbet.se","OnQS4EP4","DoktorGlas2003","Sweden","2026-03-17 19:20:10","Not frozen","83.253.1.59","52D35F9C-A71B-44DC-A890-5ACFBEE4CE5A","2026-03-17 00:00:00","39743047","1.2748100000000004","0"
"betfredew5","PF14745950","knjj","United Kingdom","2026-03-17 20:35:33","Not frozen","86.152.11.189","67b347d4cdfb21def9f23f34add93c30",NULL,"39743394",NULL,NULL
"sportiumbet.mx","Cazares123","Cazares1231","Mexico","2026-03-18 00:43:10","Not frozen",NULL,NULL,NULL,"39744671",NULL,NULL
"teammexico.mx","1087189","1087189","Mexico","2026-03-18 01:35:00","Not frozen","189.175.18.236","b032dc0eef966ae13c4ef28d74a8dc7c",NULL,"39744871",NULL,NULL
"hollandcasino","48R10024510","prohuge158","Netherlands","2026-03-17 17:35:12","Not frozen","84.25.196.49","4d302cde69cca68851710f804359c59c",NULL,"39742515",NULL,NULL
"netbetuk","NETB51BBACD3CA44","NETB51BBACD3CA44","United Kingdom","2026-03-17 15:31:50","Not frozen",NULL,NULL,NULL,"39741998",NULL,NULL
"betfredew5","PF13252860","Jaccass80","United Kingdom","2026-03-17 13:10:58","Not frozen","94.5.202.178","b530108a90053d775d5ee765f7d1793e",NULL,"39741434",NULL,NULL
"netbetro","NETBE17D023CC201","NETBE17D023CC201","Romania","2026-03-17 10:57:30","Not frozen",NULL,NULL,NULL,"39741053",NULL,NULL
"bet365poker.bap","AGUSTINESPINDOLA416","Originalroyal65","Argentina","2026-03-18 02:32:15","Not frozen","181.13.68.86","ddb6c7d1a2b85d87f1423b51ce49db8c",NULL,"39745089",NULL,NULL
"netbetro","NETB83C215B7B757","NETB83C215B7B757","Romania","2026-03-17 18:18:20","Not frozen",NULL,NULL,NULL,"39742730",NULL,NULL
"efortuna","Maria7775","Maria77753","Romania","2026-03-17 19:07:21","Not frozen","89.39.71.85","ae7100b8-d76d-4870-8ba8-eda744a5ba40","2026-03-17 00:00:00","39742983","0","0.01000000003192509"
"sportiumbet.mx","Litgot65","Litgot65","Mexico","2026-03-17 15:31:10","Not frozen",NULL,NULL,NULL,"39741995",NULL,NULL
"bet365poker.bg","CCD99F98BB978A","hornetgiant249","Bulgaria","2026-03-17 17:08:02","Not frozen","151.251.159.242","090c074e5680bebae276185afca20f94",NULL,"39742399",NULL,NULL
"sportiumbet.mx","Ninja12367","Ninja12367","Mexico","2026-03-18 03:55:10","Not frozen",NULL,NULL,NULL,"39745380",NULL,NULL
"netbetro","NETB6ED0E06F1B84","NETB6ED0E06F1B84","Romania","2026-03-18 00:03:20","Not frozen",NULL,NULL,NULL,"39744499",NULL,NULL
"netbetuk","NETB324BF5435A81","NETB324BF5435A81","United Kingdom","2026-03-17 20:31:30","Not frozen",NULL,NULL,NULL,"39743377",NULL,NULL
"sportiumbet.mx","Rata24","Rata24","Mexico","2026-03-18 04:04:20","Not frozen",NULL,NULL,NULL,"39745413",NULL,NULL
"sportiumbet.mx","Elealraya1","Elealraya1","Mexico","2026-03-17 23:52:30","Not frozen",NULL,NULL,NULL,"39744439",NULL,NULL
"coolbet","tNU9KQMM","monkeyvine87","Chile","2026-03-17 19:37:47","Not frozen","186.11.4.112","dd5d9f1610528ddf1f0bcd4a57396a0a",NULL,"39743157",NULL,NULL
"bet365poker.bap","ALIPECROBEL","romanpe","Argentina","2026-03-18 01:09:36","Not frozen","190.173.133.187","f4d8a62be4a9d99cee8a948a6490e808","2026-03-18 00:00:00","39744777","0","9.589964963449738"
"sportiumbet.mx","Delezeta1","Delezeta1","Mexico","2026-03-17 21:41:40","Not frozen",NULL,NULL,NULL,"39743722",NULL,NULL
"bet365poker.pe","7076E9409916EC","jedisweet421","Peru","2026-03-17 15:16:45","Not frozen","181.176.104.57","193674ac72f38666e6d6940d65c69e39",NULL,"39741934",NULL,NULL
"betfredew5","PF12251993","khlojo","United Kingdom","2026-03-17 23:25:13","Not frozen","109.149.52.190","aa28d239535491aefc6febe1b375e2b6",NULL,"39744318",NULL,NULL
"betfairpoker","116447199","Vigilantsword15","United Kingdom","2026-03-17 17:45:27","Not frozen","57.129.130.68","1794CC41-5EE7-4F12-971F-BC0F94845DAD","2026-03-17 00:00:00","39742565","8.162897","0"
"skypoker.com","509369783","Durch66","United Kingdom","2026-03-17 20:40:13","Not frozen","2.127.58.131","25cb83adf8da0c71c69a98fb92996b3b","2026-03-17 00:00:00","39743416","0.4357982653790184","0.46312433581296497"
"sportiumbet.mx","47JARR77","47JARR77","Mexico","2026-03-18 04:05:20","Not frozen",NULL,NULL,NULL,"39745418",NULL,NULL
"sportiumbet.mx","Jack5","Jack53","Mexico","2026-03-18 00:07:30","Not frozen",NULL,NULL,NULL,"39744519",NULL,NULL
"betfredew5","PF14614066","PF14614066","United Kingdom","2026-03-17 18:44:49","Not frozen",NULL,"3e273e7f7ac545688b1cd22fa1ec7696",NULL,"39742874",NULL,NULL
"sportiumbet.mx","VICENTE66","VICENTE66","Mexico","2026-03-17 21:36:20","Not frozen",NULL,NULL,NULL,"39743693",NULL,NULL
"bifortuna.cz","Lolek55","Lolek55","Czech Republic","2026-03-17 13:52:53","Not frozen","109.81.163.254","792cc08b4753a1609414fd92ee9a3c2d",NULL,"39741577",NULL,NULL
"netbetuk","NETB4592DEA1DA19","NETB4592DEA1DA19","United Kingdom","2026-03-17 21:56:10","Not frozen",NULL,NULL,NULL,"39743805",NULL,NULL
"bet365poker","IRISCOMENI","Valiantapple37","United Kingdom","2026-03-17 17:26:18","Not frozen","81.179.31.116","6cae0d55d76d7e09c5623d675485210f",NULL,"39742476",NULL,NULL
"sportiumbet.mx","myckrohuerta27@","myckrohuerta27","Mexico","2026-03-18 03:41:50","Not frozen",NULL,NULL,NULL,"39745334",NULL,NULL
"paddypowerpoker.com","304410357","Originalfrank34","United Kingdom","2026-03-17 23:40:45","Not frozen","162.120.247.71","9ef6430c6a573141e6711c9f7938a7d9",NULL,"39744389",NULL,NULL
"grosvenor.poker","11258254","LuckMoneyNPT","United Kingdom","2026-03-17 20:40:19","Not frozen","88.97.202.142","2b009150-aded-4548-8345-e44be1e94427",NULL,"39743417",NULL,NULL
"netbetro","NETB41641C1999FE","NETB41641C1999FE","Romania","2026-03-17 20:21:50","Not frozen",NULL,NULL,NULL,"39743338",NULL,NULL
"sportiumbet.mx","Lawera100","Lawera100","Mexico","2026-03-17 19:44:20","Not frozen",NULL,NULL,NULL,"39743192",NULL,NULL
"sportiumbet.mx","Angel0198","Angel0198","Mexico","2026-03-18 03:59:00","Not frozen",NULL,NULL,NULL,"39745392",NULL,NULL
"netbetro","NETB0E6379207E8C","NETB0E6379207E8C","Romania","2026-03-17 18:11:30","Not frozen",NULL,NULL,NULL,"39742685",NULL,NULL
"netbetro","NETBB8A37D9843A4","NETBB8A37D9843A4","Romania","2026-03-17 17:10:00","Not frozen",NULL,NULL,NULL,"39742414",NULL,NULL
"poker770mt","NETBF3C72D6017FC","NETBF3C72D6017FC","Ireland","2026-03-17 22:23:20","Not frozen",NULL,NULL,NULL,"39743967",NULL,NULL
"netbetro","NETBAF0F85ADEC6E","NETBAF0F85ADEC6E","Romania","2026-03-17 17:51:50","Not frozen",NULL,NULL,NULL,"39742595",NULL,NULL
"sportiumbet.mx","Arminbanbi2","Arminbanbi2","Mexico","2026-03-17 16:54:10","Not frozen",NULL,NULL,NULL,"39742339",NULL,NULL
"bet365poker.nl","ROYV8714","proruby25","Netherlands","2026-03-17 12:11:53","Not frozen","86.83.163.93","5e5c8454e39c9254dd4597ced84f4583","2026-03-17 00:00:00","39741275","0","14.7"
"sportiumbet.mx","Pelonvilla@_0905","Pelonvilla0905","Mexico","2026-03-18 01:28:10","Not frozen",NULL,NULL,NULL,"39744838",NULL,NULL
"betsafe.lv","1450928578","Raregreen145","Latvia","2026-03-17 20:20:57","Not frozen","185.214.96.84","01261c02d32c701091a2219592eb25cc",NULL,"39743334",NULL,NULL
"netbetro","NETB4599C3C8A6E2","NETB4599C3C8A6E2","Romania","2026-03-17 18:31:30","Not frozen",NULL,NULL,NULL,"39742794",NULL,NULL
"sportiumbet.mx","Angellugo6711","Angellugo6711","Mexico","2026-03-17 18:03:10","Not frozen",NULL,NULL,NULL,"39742644",NULL,NULL
"sportiumbet.mx","Lupe01793","Lupe01793","Mexico","2026-03-17 10:24:40","Not frozen",NULL,NULL,NULL,"39740946",NULL,NULL
